country,country_code,source,year,is_estimated,indicator_code,value
Kenya,KEN,JMP,2000,False,pct_at_least_basic_water_rural,35.4
Kenya,KEN,JMP,2001,False,pct_at_least_basic_water_rural,36.3
Kenya,KEN,JMP,2002,False,pct_at_least_basic_water_rural,37.1
Kenya,KEN,JMP,2003,False,pct_at_least_basic_water_rural,37.9
Kenya,KEN,JMP,2004,False,pct_at_least_basic_water_rural,38.8
Kenya,KEN,JMP,2005,False,pct_at_least_basic_water_rural,39.6
Kenya,KEN,JMP,2006,False,pct_at_least_basic_water_rural,40.4
Kenya,KEN,JMP,2007,False,pct_at_least_basic_water_rural,41.3
Kenya,KEN,JMP,2008,False,pct_at_least_basic_water_rural,42.1
Kenya,KEN,JMP,2009,False,pct_at_least_basic_water_rural,43.0
Kenya,KEN,JMP,2010,False,pct_at_least_basic_water_rural,43.8
Kenya,KEN,JMP,2011,False,pct_at_least_basic_water_rural,44.6
Kenya,KEN,JMP,2012,False,pct_at_least_basic_water_rural,45.5
Kenya,KEN,JMP,2013,False,pct_at_least_basic_water_rural,46.3
Kenya,KEN,JMP,2014,False,pct_at_least_basic_water_rural,47.2
Kenya,KEN,JMP,2015,False,pct_at_least_basic_water_rural,48.0
Kenya,KEN,JMP,2016,False,pct_at_least_basic_water_rural,48.8
Kenya,KEN,JMP,2017,False,pct_at_least_basic_water_rural,49.7
Kenya,KEN,JMP,2018,False,pct_at_least_basic_water_rural,50.5
Kenya,KEN,JMP,2019,False,pct_at_least_basic_water_rural,51.4
Kenya,KEN,JMP,2020,False,pct_at_least_basic_water_rural,52.2
Kenya,KEN,JMP,2021,False,pct_at_least_basic_water_rural,53.1
Kenya,KEN,JMP,2022,False,pct_at_least_basic_water_rural,53.9
Kenya,KEN,JMP,2023,False,pct_at_least_basic_water_rural,54.7
Kenya,KEN,JMP,2024,False,pct_at_least_basic_water_rural,55.6
Kenya,KEN,JMP,2025,False,pct_at_least_basic_water_rural,56.4
Kenya,KEN,JMP,2026,False,pct_at_least_basic_water_rural,57.3
Kenya,KEN,JMP,2027,True,pct_at_least_basic_water_rural,57.3
Kenya,KEN,JMP,2028,True,pct_at_least_basic_water_rural,57.3
Kenya,KEN,JMP,2029,True,pct_at_least_basic_water_rural,57.3
Kenya,KEN,JMP,2030,True,pct_at_least_basic_water_rural,57.3
Kenya,KEN,JMP,2000,False,pct_at_least_basic_water_total,45.4
Kenya,KEN,JMP,2001,False,pct_at_least_basic_water_total,46.2
Kenya,KEN,JMP,2002,False,pct_at_least_basic_water_total,47.1
Kenya,KEN,JMP,2003,False,pct_at_least_basic_water_total,48.0
Kenya,KEN,JMP,2004,False,pct_at_least_basic_water_total,48.8
Kenya,KEN,JMP,2005,False,pct_at_least_basic_water_total,49.7
Kenya,KEN,JMP,2006,False,pct_at_least_basic_water_total,50.5
Kenya,KEN,JMP,2007,False,pct_at_least_basic_water_total,51.4
Kenya,KEN,JMP,2008,False,pct_at_least_basic_water_total,52.3
Kenya,KEN,JMP,2009,False,pct_at_least_basic_water_total,53.1
Kenya,KEN,JMP,2010,False,pct_at_least_basic_water_total,53.9
Kenya,KEN,JMP,2011,False,pct_at_least_basic_water_total,54.8
Kenya,KEN,JMP,2012,False,pct_at_least_basic_water_total,55.6
Kenya,KEN,JMP,2013,False,pct_at_least_basic_water_total,56.5
Kenya,KEN,JMP,2014,False,pct_at_least_basic_water_total,57.3
Kenya,KEN,JMP,2015,False,pct_at_least_basic_water_total,58.2
Kenya,KEN,JMP,2016,False,pct_at_least_basic_water_total,59.0
Kenya,KEN,JMP,2017,False,pct_at_least_basic_water_total,59.8
Kenya,KEN,JMP,2018,False,pct_at_least_basic_water_total,60.7
Kenya,KEN,JMP,2019,False,pct_at_least_basic_water_total,61.5
Kenya,KEN,JMP,2020,False,pct_at_least_basic_water_total,62.3
Kenya,KEN,JMP,2021,False,pct_at_least_basic_water_total,63.1
Kenya,KEN,JMP,2022,False,pct_at_least_basic_water_total,64.0
Kenya,KEN,JMP,2023,False,pct_at_least_basic_water_total,64.8
Kenya,KEN,JMP,2024,False,pct_at_least_basic_water_total,65.6
Kenya,KEN,JMP,2025,False,pct_at_least_basic_water_total,66.4
Kenya,KEN,JMP,2026,False,pct_at_least_basic_water_total,67.2
Kenya,KEN,JMP,2027,True,pct_at_least_basic_water_total,67.3
Kenya,KEN,JMP,2028,True,pct_at_least_basic_water_total,67.5
Kenya,KEN,JMP,2029,True,pct_at_least_basic_water_total,67.7
Kenya,KEN,JMP,2030,True,pct_at_least_basic_water_total,67.9
Kenya,KEN,JMP,2000,False,pct_at_least_basic_water_urban,85.4
Kenya,KEN,JMP,2001,False,pct_at_least_basic_water_urban,85.5
Kenya,KEN,JMP,2002,False,pct_at_least_basic_water_urban,85.7
Kenya,KEN,JMP,2003,False,pct_at_least_basic_water_urban,85.8
Kenya,KEN,JMP,2004,False,pct_at_least_basic_water_urban,86.0
Kenya,KEN,JMP,2005,False,pct_at_least_basic_water_urban,86.1
Kenya,KEN,JMP,2006,False,pct_at_least_basic_water_urban,86.3
Kenya,KEN,JMP,2007,False,pct_at_least_basic_water_urban,86.4
Kenya,KEN,JMP,2008,False,pct_at_least_basic_water_urban,86.6
Kenya,KEN,JMP,2009,False,pct_at_least_basic_water_urban,86.7
Kenya,KEN,JMP,2010,False,pct_at_least_basic_water_urban,86.8
Kenya,KEN,JMP,2011,False,pct_at_least_basic_water_urban,87.0
Kenya,KEN,JMP,2012,False,pct_at_least_basic_water_urban,87.1
Kenya,KEN,JMP,2013,False,pct_at_least_basic_water_urban,87.3
Kenya,KEN,JMP,2014,False,pct_at_least_basic_water_urban,87.4
Kenya,KEN,JMP,2015,False,pct_at_least_basic_water_urban,87.6
Kenya,KEN,JMP,2016,False,pct_at_least_basic_water_urban,87.7
Kenya,KEN,JMP,2017,False,pct_at_least_basic_water_urban,87.9
Kenya,KEN,JMP,2018,False,pct_at_least_basic_water_urban,88.0
Kenya,KEN,JMP,2019,False,pct_at_least_basic_water_urban,88.2
Kenya,KEN,JMP,2020,False,pct_at_least_basic_water_urban,88.3
Kenya,KEN,JMP,2021,False,pct_at_least_basic_water_urban,88.4
Kenya,KEN,JMP,2022,False,pct_at_least_basic_water_urban,88.6
Kenya,KEN,JMP,2023,False,pct_at_least_basic_water_urban,88.7
Kenya,KEN,JMP,2024,False,pct_at_least_basic_water_urban,88.9
Kenya,KEN,JMP,2025,False,pct_at_least_basic_water_urban,89.0
Kenya,KEN,JMP,2026,False,pct_at_least_basic_water_urban,89.1
Kenya,KEN,JMP,2027,True,pct_at_least_basic_water_urban,89.1
Kenya,KEN,JMP,2028,True,pct_at_least_basic_water_urban,89.1
Kenya,KEN,JMP,2029,True,pct_at_least_basic_water_urban,89.1
Kenya,KEN,JMP,2030,True,pct_at_least_basic_water_urban,89.1
Kenya,KEN,JMP,2000,False,pct_improved_water_rural,42.7
Kenya,KEN,JMP,2001,False,pct_improved_water_rural,43.7
Kenya,KEN,JMP,2002,False,pct_improved_water_rural,44.7
Kenya,KEN,JMP,2003,False,pct_improved_water_rural,45.7
Kenya,KEN,JMP,2004,False,pct_improved_water_rural,46.7
Kenya,KEN,JMP,2005,False,pct_improved_water_rural,47.7
Kenya,KEN,JMP,2006,False,pct_improved_water_rural,48.7
Kenya,KEN,JMP,2007,False,pct_improved_water_rural,49.7
Kenya,KEN,JMP,2008,False,pct_improved_water_rural,50.7
Kenya,KEN,JMP,2009,False,pct_improved_water_rural,51.7
Kenya,KEN,JMP,2010,False,pct_improved_water_rural,52.7
Kenya,KEN,JMP,2011,False,pct_improved_water_rural,53.7
Kenya,KEN,JMP,2012,False,pct_improved_water_rural,54.7
Kenya,KEN,JMP,2013,False,pct_improved_water_rural,55.7
Kenya,KEN,JMP,2014,False,pct_improved_water_rural,56.7
Kenya,KEN,JMP,2015,False,pct_improved_water_rural,57.7
Kenya,KEN,JMP,2016,False,pct_improved_water_rural,58.7
Kenya,KEN,JMP,2017,False,pct_improved_water_rural,59.7
Kenya,KEN,JMP,2018,False,pct_improved_water_rural,60.7
Kenya,KEN,JMP,2019,False,pct_improved_water_rural,61.7
Kenya,KEN,JMP,2020,False,pct_improved_water_rural,62.7
Kenya,KEN,JMP,2021,False,pct_improved_water_rural,63.7
Kenya,KEN,JMP,2022,False,pct_improved_water_rural,64.7
Kenya,KEN,JMP,2023,False,pct_improved_water_rural,65.7
Kenya,KEN,JMP,2024,False,pct_improved_water_rural,66.7
Kenya,KEN,JMP,2025,False,pct_improved_water_rural,67.7
Kenya,KEN,JMP,2026,False,pct_improved_water_rural,68.7
Kenya,KEN,JMP,2027,True,pct_improved_water_rural,68.7
Kenya,KEN,JMP,2028,True,pct_improved_water_rural,68.7
Kenya,KEN,JMP,2029,True,pct_improved_water_rural,68.7
Kenya,KEN,JMP,2030,True,pct_improved_water_rural,68.7
Kenya,KEN,JMP,2000,False,pct_improved_water_total,52.1
Kenya,KEN,JMP,2001,False,pct_improved_water_total,53.1
Kenya,KEN,JMP,2002,False,pct_improved_water_total,54.0
Kenya,KEN,JMP,2003,False,pct_improved_water_total,55.0
Kenya,KEN,JMP,2004,False,pct_improved_water_total,56.0
Kenya,KEN,JMP,2005,False,pct_improved_water_total,56.9
Kenya,KEN,JMP,2006,False,pct_improved_water_total,57.9
Kenya,KEN,JMP,2007,False,pct_improved_water_total,58.9
Kenya,KEN,JMP,2008,False,pct_improved_water_total,59.8
Kenya,KEN,JMP,2009,False,pct_improved_water_total,60.8
Kenya,KEN,JMP,2010,False,pct_improved_water_total,61.7
Kenya,KEN,JMP,2011,False,pct_improved_water_total,62.6
Kenya,KEN,JMP,2012,False,pct_improved_water_total,63.6
Kenya,KEN,JMP,2013,False,pct_improved_water_total,64.5
Kenya,KEN,JMP,2014,False,pct_improved_water_total,65.4
Kenya,KEN,JMP,2015,False,pct_improved_water_total,66.3
Kenya,KEN,JMP,2016,False,pct_improved_water_total,67.2
Kenya,KEN,JMP,2017,False,pct_improved_water_total,68.2
Kenya,KEN,JMP,2018,False,pct_improved_water_total,69.1
Kenya,KEN,JMP,2019,False,pct_improved_water_total,70.0
Kenya,KEN,JMP,2020,False,pct_improved_water_total,70.9
Kenya,KEN,JMP,2021,False,pct_improved_water_total,71.7
Kenya,KEN,JMP,2022,False,pct_improved_water_total,72.6
Kenya,KEN,JMP,2023,False,pct_improved_water_total,73.5
Kenya,KEN,JMP,2024,False,pct_improved_water_total,74.4
Kenya,KEN,JMP,2025,False,pct_improved_water_total,75.2
Kenya,KEN,JMP,2026,False,pct_improved_water_total,76.1
Kenya,KEN,JMP,2027,True,pct_improved_water_total,76.2
Kenya,KEN,JMP,2028,True,pct_improved_water_total,76.4
Kenya,KEN,JMP,2029,True,pct_improved_water_total,76.5
Kenya,KEN,JMP,2030,True,pct_improved_water_total,76.6
Kenya,KEN,JMP,2000,False,pct_improved_water_urban,89.9
Kenya,KEN,JMP,2001,False,pct_improved_water_urban,90.0
Kenya,KEN,JMP,2002,False,pct_improved_water_urban,90.1
Kenya,KEN,JMP,2003,False,pct_improved_water_urban,90.2
Kenya,KEN,JMP,2004,False,pct_improved_water_urban,90.3
Kenya,KEN,JMP,2005,False,pct_improved_water_urban,90.4
Kenya,KEN,JMP,2006,False,pct_improved_water_urban,90.5
Kenya,KEN,JMP,2007,False,pct_improved_water_urban,90.6
Kenya,KEN,JMP,2008,False,pct_improved_water_urban,90.7
Kenya,KEN,JMP,2009,False,pct_improved_water_urban,90.8
Kenya,KEN,JMP,2010,False,pct_improved_water_urban,90.9
Kenya,KEN,JMP,2011,False,pct_improved_water_urban,91.0
Kenya,KEN,JMP,2012,False,pct_improved_water_urban,91.1
Kenya,KEN,JMP,2013,False,pct_improved_water_urban,91.2
Kenya,KEN,JMP,2014,False,pct_improved_water_urban,91.3
Kenya,KEN,JMP,2015,False,pct_improved_water_urban,91.3
Kenya,KEN,JMP,2016,False,pct_improved_water_urban,91.4
Kenya,KEN,JMP,2017,False,pct_improved_water_urban,91.5
Kenya,KEN,JMP,2018,False,pct_improved_water_urban,91.6
Kenya,KEN,JMP,2019,False,pct_improved_water_urban,91.7
Kenya,KEN,JMP,2020,False,pct_improved_water_urban,91.8
Kenya,KEN,JMP,2021,False,pct_improved_water_urban,91.9
Kenya,KEN,JMP,2022,False,pct_improved_water_urban,92.0
Kenya,KEN,JMP,2023,False,pct_improved_water_urban,92.1
Kenya,KEN,JMP,2024,False,pct_improved_water_urban,92.2
Kenya,KEN,JMP,2025,False,pct_improved_water_urban,92.3
Kenya,KEN,JMP,2026,False,pct_improved_water_urban,92.4
Kenya,KEN,JMP,2027,True,pct_improved_water_urban,92.4
Kenya,KEN,JMP,2028,True,pct_improved_water_urban,92.4
Kenya,KEN,JMP,2029,True,pct_improved_water_urban,92.4
Kenya,KEN,JMP,2030,True,pct_improved_water_urban,92.4
Kenya,KEN,JMP,2000,False,pct_limited_water_rural,7.3
Kenya,KEN,JMP,2001,False,pct_limited_water_rural,7.4
Kenya,KEN,JMP,2002,False,pct_limited_water_rural,7.6
Kenya,KEN,JMP,2003,False,pct_limited_water_rural,7.8
Kenya,KEN,JMP,2004,False,pct_limited_water_rural,7.9
Kenya,KEN,JMP,2005,False,pct_limited_water_rural,8.1
Kenya,KEN,JMP,2006,False,pct_limited_water_rural,8.3
Kenya,KEN,JMP,2007,False,pct_limited_water_rural,8.4
Kenya,KEN,JMP,2008,False,pct_limited_water_rural,8.6
Kenya,KEN,JMP,2009,False,pct_limited_water_rural,8.7
Kenya,KEN,JMP,2010,False,pct_limited_water_rural,8.9
Kenya,KEN,JMP,2011,False,pct_limited_water_rural,9.1
Kenya,KEN,JMP,2012,False,pct_limited_water_rural,9.2
Kenya,KEN,JMP,2013,False,pct_limited_water_rural,9.4
Kenya,KEN,JMP,2014,False,pct_limited_water_rural,9.5
Kenya,KEN,JMP,2015,False,pct_limited_water_rural,9.7
Kenya,KEN,JMP,2016,False,pct_limited_water_rural,9.9
Kenya,KEN,JMP,2017,False,pct_limited_water_rural,10.0
Kenya,KEN,JMP,2018,False,pct_limited_water_rural,10.2
Kenya,KEN,JMP,2019,False,pct_limited_water_rural,10.3
Kenya,KEN,JMP,2020,False,pct_limited_water_rural,10.5
Kenya,KEN,JMP,2021,False,pct_limited_water_rural,10.6
Kenya,KEN,JMP,2022,False,pct_limited_water_rural,10.8
Kenya,KEN,JMP,2023,False,pct_limited_water_rural,11.0
Kenya,KEN,JMP,2024,False,pct_limited_water_rural,11.1
Kenya,KEN,JMP,2025,False,pct_limited_water_rural,11.3
Kenya,KEN,JMP,2026,False,pct_limited_water_rural,11.4
Kenya,KEN,JMP,2027,True,pct_limited_water_rural,11.4
Kenya,KEN,JMP,2028,True,pct_limited_water_rural,11.4
Kenya,KEN,JMP,2029,True,pct_limited_water_rural,11.4
Kenya,KEN,JMP,2030,True,pct_limited_water_rural,11.4
Kenya,KEN,JMP,2000,False,pct_limited_water_total,6.7
Kenya,KEN,JMP,2001,False,pct_limited_water_total,6.8
Kenya,KEN,JMP,2002,False,pct_limited_water_total,6.9
Kenya,KEN,JMP,2003,False,pct_limited_water_total,7.1
Kenya,KEN,JMP,2004,False,pct_limited_water_total,7.2
Kenya,KEN,JMP,2005,False,pct_limited_water_total,7.3
Kenya,KEN,JMP,2006,False,pct_limited_water_total,7.4
Kenya,KEN,JMP,2007,False,pct_limited_water_total,7.5
Kenya,KEN,JMP,2008,False,pct_limited_water_total,7.6
Kenya,KEN,JMP,2009,False,pct_limited_water_total,7.7
